order_number,order_date,ship_date,customer_id,sales_channel,currency_code,warehouse_code,region_id,product_id,order_quantity,unit_price,total_unit_cost,total_revenue
SO - 0002047,6/1/2021,9/1/2021,46,Trade Supply,AUD,RPT503,11,11,9,1775.5,994.28,15979.5
SO - 0003949,6/1/2021,12/1/2021,10,Trade Supply,USD,RPT503,11,7,6,3088.7,2069.429,18532.2
SO - 0003973,6/1/2021,1/20/2021,4,Trade Supply,USD,RPT503,80,8,7,6170.7,4998.267,43194.9
SO - 0004731,6/1/2021,1/19/2021,47,Logistics Partner,NZD,RPT503,29,11,6,2532.6,1696.842,15195.6
SO - 0005824,6/1/2021,1/17/2021,21,Trade Supply,NZD,RPT503,5,13,6,1112.2,778.54,6673.2
SO - 0006514,6/1/2021,1/19/2021,36,Trade Supply,NZD,RPT503,30,10,10,1078.7,431.48,10787.0
SO - 0006820,6/1/2021,11/1/2021,20,Trade Supply,NZD,RPT503,39,6,7,1145.7,515.565,8019.9
SO - 0007187,6/1/2021,1/23/2021,12,Trade Supply,USD,RPT503,31,7,11,1031.8,588.126,11349.8
SO - 0006661,7/1/2021,1/14/2021,35,Trade Supply,AUD,RPT503,95,7,6,3370.1,2257.967,20220.6
SO - 0006737,7/1/2021,12/1/2021,21,Trade Supply,USD,RPT503,98,7,6,1206.0,964.8,7236.0
SO - 0007183,7/1/2021,1/23/2021,13,Logistics Partner,NZD,RPT503,41,1,9,268.0,222.44,2412.0
SO - 0002801,8/1/2021,1/15/2021,7,Logistics Partner,AUD,RPT503,28,2,6,1031.8,412.72,6190.8
SO - 0005813,8/1/2021,1/22/2021,41,Trade Supply,USD,RPT503,17,1,7,1159.1,788.188,8113.7
SO - 0007632,8/1/2021,1/13/2021,41,Logistics Partner,NZD,RPT503,17,2,10,3939.6,1851.612,39396.0
SO - 000992,9/1/2021,1/24/2021,49,Global Sales,USD,RPT503,65,7,7,3912.8,2778.088,27389.6
SO - 0002398,9/1/2021,1/13/2021,32,Trade Supply,NZD,RPT503,42,13,12,1996.6,1637.212,23959.2
SO - 0002741,9/1/2021,1/24/2021,48,Trade Supply,USD,RPT503,42,7,9,1775.5,1473.665,15979.5
SO - 0003918,9/1/2021,12/1/2021,31,Trade Supply,AUD,RPT503,72,13,6,1105.5,851.235,6633.0
SO - 0004955,9/1/2021,1/15/2021,23,Global Sales,EUR,RPT503,33,8,8,5561.0,2335.62,44488.0
SO - 0005615,9/1/2021,1/17/2021,40,Trade Supply,NZD,RPT503,64,5,5,3939.6,2087.988,19698.0
SO - 0001521,10/1/2021,1/19/2021,5,Global Sales,NZD,RPT503,21,12,7,1065.3,724.404,7457.1
SO - 0003239,10/1/2021,1/24/2021,34,Logistics Partner,AUD,RPT503,19,2,6,3966.4,1586.56,23798.4
SO - 0005857,10/1/2021,1/14/2021,36,Trade Supply,USD,RPT503,59,11,9,1072.0,600.32,9648.0
SO - 0006447,10/1/2021,1/22/2021,7,Logistics Partner,USD,RPT503,9,2,5,2680.0,2117.2,13400.0
SO - 0007054,10/1/2021,1/18/2021,48,Logistics Partner,GBP,RPT503,46,5,8,2525.9,1818.648,20207.2
SO - 000657,11/1/2021,1/22/2021,18,Global Sales,USD,RPT503,91,11,10,1118.9,492.316,11189.0
SO - 0003221,11/1/2021,1/18/2021,49,Trade Supply,NZD,RPT503,27,2,9,2237.8,1409.814,20140.2
SO - 0003879,11/1/2021,1/18/2021,6,Trade Supply,USD,RPT503,79,2,9,1273.0,1043.86,11457.0
SO - 0005097,11/1/2021,1/26/2021,1,Logistics Partner,USD,RPT503,38,4,12,2505.8,1954.524,30069.6
SO - 000521,12/1/2021,1/21/2021,41,Trade Supply,USD,RPT503,29,5,5,1105.5,740.685,5527.5
SO - 0003792,12/1/2021,1/20/2021,27,Trade Supply,USD,RPT503,92,11,7,187.6,146.328,1313.2
SO - 0004448,12/1/2021,1/21/2021,44,Trade Supply,NZD,RPT503,64,7,11,3845.8,2615.144,42303.8
SO - 0005756,12/1/2021,1/15/2021,34,Global Sales,NZD,RPT503,63,7,5,3631.4,1561.502,18157.0
SO - 0007230,12/1/2021,1/16/2021,50,Logistics Partner,USD,RPT503,43,11,6,3899.4,3275.496,23396.4
SO - 0003422,1/13/2021,1/20/2021,33,Logistics Partner,GBP,RPT503,10,2,11,221.1,121.605,2432.1
SO - 0004790,1/13/2021,1/18/2021,29,Global Sales,USD,RPT503,57,5,12,1085.4,607.824,13024.8
SO - 0007086,1/13/2021,1/25/2021,18,Trade Supply,AUD,RPT503,70,2,7,2345.0,1219.4,16415.0
SO - 0007336,1/13/2021,1/24/2021,4,Logistics Partner,NZD,RPT503,92,2,11,1125.6,619.08,12381.6
SO - 0008075,1/13/2021,1/29/2021,30,Trade Supply,NZD,RPT503,84,2,7,790.6,490.172,5534.2
SO - 000893,1/14/2021,1/2/2021,4,Logistics Partner,USD,RPT503,3,14,11,6103.7,2746.665,67140.7
SO - 0003170,1/14/2021,1/2/2021,23,Logistics Partner,NZD,RPT503,55,14,11,1969.8,827.316,21667.8
SO - 0003190,1/14/2021,1/31/2021,28,Trade Supply,GBP,RPT503,92,6,10,201.0,160.8,2010.0
SO - 0003227,1/14/2021,1/27/2021,39,Trade Supply,USD,RPT503,44,1,7,1065.3,862.893,7457.1
SO - 0005834,1/14/2021,1/23/2021,28,Trade Supply,NZD,RPT503,68,5,7,3906.1,2538.965,27342.7
SO - 0006227,1/14/2021,1/25/2021,8,Trade Supply,AUD,RPT503,51,7,11,1159.1,602.732,12750.1
SO - 0007460,1/14/2021,1/17/2021,3,Trade Supply,AUD,RPT503,52,1,10,1011.7,556.435,10117.0
SO - 0001326,1/15/2021,1/21/2021,3,Logistics Partner,NZD,RPT503,47,11,12,201.0,152.76,2412.0
SO - 0003367,1/15/2021,1/25/2021,35,Trade Supply,NZD,RPT503,36,1,5,2968.1,1187.24,14840.5
SO - 0003549,1/15/2021,1/31/2021,49,Logistics Partner,USD,RPT503,41,1,12,1045.2,480.792,12542.4
SO - 0006511,1/15/2021,1/20/2021,45,Logistics Partner,NZD,RPT503,27,11,8,2465.6,1873.856,19724.8
SO - 0006598,1/15/2021,1/23/2021,9,Trade Supply,EUR,RPT503,6,2,11,871.0,540.02,9581.0
SO - 0007322,1/15/2021,1/22/2021,11,Trade Supply,AUD,RPT503,25,11,5,4020.0,3095.4,20100.0
SO - 000107,1/16/2021,1/24/2021,14,Logistics Partner,EUR,RPT503,98,1,10,1192.6,536.67,11926.0
SO - 000593,1/16/2021,1/27/2021,18,Trade Supply,AUD,RPT503,7,13,8,5547.6,4216.176,44380.8
SO - 000654,1/16/2021,1/29/2021,12,Trade Supply,NZD,RPT503,40,11,11,1051.9,515.431,11570.9
SO - 0001892,1/16/2021,1/25/2021,14,Logistics Partner,USD,RPT503,37,5,6,3155.7,2240.547,18934.2
SO - 0002825,1/16/2021,1/29/2021,47,Trade Supply,AUD,RPT503,49,10,5,3175.8,1905.48,15879.0
SO - 0004556,1/16/2021,1/19/2021,37,Logistics Partner,GBP,RPT503,16,2,10,1876.0,1013.04,18760.0
SO - 0005016,1/16/2021,1/20/2021,50,Logistics Partner,NZD,RPT503,48,13,10,2619.7,1938.578,26197.0
SO - 0005689,1/16/2021,1/28/2021,1,Logistics Partner,NZD,RPT503,26,11,5,1058.6,783.364,5293.0
SO - 0006321,1/16/2021,1/25/2021,12,Logistics Partner,NZD,RPT503,63,2,9,3939.6,2481.948,35456.4
SO - 000144,1/17/2021,1/25/2021,21,Trade Supply,NZD,RPT503,55,5,7,3095.4,2012.01,21667.8
SO - 000357,1/17/2021,1/30/2021,49,Trade Supply,USD,RPT503,16,2,8,891.1,739.613,7128.8
SO - 0001466,1/17/2021,1/27/2021,24,Trade Supply,NZD,RPT503,94,2,10,1172.5,715.225,11725.0
SO - 0002331,1/17/2021,1/25/2021,18,Trade Supply,NZD,RPT503,66,6,6,1822.4,1111.664,10934.4
SO - 0002409,1/17/2021,1/29/2021,6,Trade Supply,NZD,RPT503,51,7,9,1105.5,773.85,9949.5
SO - 0002878,1/17/2021,1/25/2021,34,Logistics Partner,NZD,RPT503,40,2,11,1025.1,635.562,11276.1
SO - 0003178,1/17/2021,1/22/2021,38,Global Sales,AUD,RPT503,11,1,5,737.0,368.5,3685.0
SO - 0003419,1/17/2021,1/29/2021,46,Global Sales,NZD,RPT503,79,9,10,1098.8,637.304,10988.0
SO - 0003637,1/17/2021,1/30/2021,33,Logistics Partner,NZD,RPT503,46,1,6,737.0,302.17,4422.0
SO - 000418,1/18/2021,1/27/2021,13,Trade Supply,NZD,RPT503,76,13,7,703.5,316.575,4924.5
SO - 0001373,1/18/2021,1/29/2021,17,Logistics Partner,NZD,RPT503,60,5,12,2532.6,1848.798,30391.2
SO - 0003278,1/18/2021,5/2/2021,46,Trade Supply,NZD,RPT503,84,5,5,3819.0,2405.97,19095.0
SO - 0003642,1/18/2021,1/21/2021,4,Global Sales,AUD,RPT503,2,5,6,750.4,487.76,4502.4
SO - 0006249,1/18/2021,1/31/2021,15,Logistics Partner,EUR,RPT503,22,1,7,1728.6,1071.732,12100.2
SO - 0006328,1/18/2021,1/25/2021,27,Trade Supply,AUD,RPT503,8,6,8,247.9,114.034,1983.2
SO - 0006428,1/18/2021,4/2/2021,22,Global Sales,NZD,RPT503,11,7,12,2934.6,1437.954,35215.2
SO - 0007229,1/18/2021,4/2/2021,21,Trade Supply,NZD,RPT503,34,11,6,3879.3,2094.822,23275.8
SO - 0007857,1/18/2021,1/29/2021,2,Global Sales,EUR,RPT503,13,4,7,2257.9,1106.371,15805.3
SO - 0008068,1/18/2021,1/30/2021,12,Trade Supply,EUR,RPT503,1,7,7,3403.6,2688.844,23825.2
SO - 000561,1/19/2021,1/23/2021,48,Trade Supply,NZD,RPT503,54,1,7,1206.0,663.3,8442.0
SO - 0002217,1/19/2021,5/2/2021,21,Trade Supply,NZD,RPT503,66,14,9,1098.8,483.472,9889.2
SO - 0003600,1/19/2021,6/2/2021,45,Trade Supply,NZD,RPT503,55,7,5,207.7,145.39,1038.5
SO - 0003757,1/19/2021,1/23/2021,44,Trade Supply,USD,RPT503,83,11,9,2445.5,1393.935,22009.5
SO - 0003773,1/19/2021,1/28/2021,37,Trade Supply,AUD,RPT503,9,7,7,2479.0,2007.99,17353.0
SO - 0004807,1/19/2021,4/2/2021,14,Trade Supply,NZD,RPT503,20,7,10,1005.0,582.9,10050.0
SO - 0005301,1/19/2021,1/26/2021,39,Global Sales,EUR,RPT503,68,8,7,254.6,175.674,1782.2
SO - 0005616,1/19/2021,4/2/2021,10,Trade Supply,NZD,RPT503,46,5,7,1996.6,1557.348,13976.2
SO - 0007476,1/19/2021,4/2/2021,2,Global Sales,EUR,RPT503,36,13,11,2432.1,1970.001,26753.1
SO - 0001344,1/20/2021,2/2/2021,49,Trade Supply,USD,RPT503,15,7,5,2271.3,1294.641,11356.5
SO - 0002122,1/20/2021,1/25/2021,42,Trade Supply,NZD,RPT503,71,1,6,884.4,689.832,5306.4
SO - 0002222,1/20/2021,6/2/2021,19,Trade Supply,USD,RPT503,93,1,12,1842.5,902.825,22110.0
SO - 0005352,1/20/2021,1/24/2021,19,Logistics Partner,EUR,RPT503,54,11,5,1072.0,761.12,5360.0
SO - 000219,1/21/2021,1/28/2021,11,Global Sales,NZD,RPT503,9,9,8,1748.7,1101.681,13989.6
SO - 000619,1/21/2021,2/2/2021,37,Logistics Partner,USD,RPT503,76,2,8,1078.7,755.09,8629.6
SO - 0001310,1/21/2021,1/31/2021,13,Trade Supply,AUD,RPT503,41,10,7,737.0,626.45,5159.0
SO - 0002610,1/21/2021,1/26/2021,49,Trade Supply,USD,RPT503,47,5,10,1788.9,751.338,17889.0
SO - 0003341,1/21/2021,1/25/2021,12,Trade Supply,NZD,RPT503,50,5,12,2224.4,1757.276,26692.8
SO - 0003868,1/21/2021,1/25/2021,1,Trade Supply,EUR,RPT503,21,1,8,2512.5,1331.625,20100.0
SO - 0004528,1/21/2021,3/2/2021,24,Trade Supply,AUD,RPT503,33,11,11,6358.3,3942.146,69941.3
SO - 0006086,1/21/2021,2/2/2021,15,Logistics Partner,EUR,RPT503,10,2,12,3966.4,1705.552,47596.8
SO - 0006234,1/21/2021,1/28/2021,5,Trade Supply,USD,RPT503,59,13,6,1983.2,1269.248,11899.2
SO - 0006644,1/21/2021,3/2/2021,18,Logistics Partner,USD,RPT503,17,11,7,5507.4,2533.404,38551.8
SO - 0007123,1/21/2021,1/30/2021,38,Logistics Partner,NZD,RPT503,93,9,11,1005.0,532.65,11055.0
SO - 0003397,1/22/2021,1/28/2021,5,Trade Supply,USD,RPT503,10,13,10,201.0,142.71,2010.0
SO - 0004965,1/22/2021,7/2/2021,48,Logistics Partner,USD,RPT503,45,14,7,3825.7,1874.593,26779.9
SO - 0006379,1/22/2021,1/27/2021,13,Trade Supply,USD,RPT503,28,5,8,1038.5,726.95,8308.0
SO - 0007641,1/22/2021,1/25/2021,40,Logistics Partner,GBP,RPT503,88,9,10,201.0,168.84,2010.0
SO - 0007767,1/22/2021,1/28/2021,47,Trade Supply,NZD,RPT503,76,1,6,1842.5,1252.9,11055.0
SO - 0004252,1/23/2021,5/2/2021,16,Global Sales,NZD,RPT503,28,5,10,1005.0,683.4,10050.0
SO - 0005888,1/23/2021,4/2/2021,12,Logistics Partner,NZD,RPT503,68,2,9,3926.2,3140.96,35335.8
SO - 0006536,1/23/2021,8/2/2021,10,Trade Supply,AUD,RPT503,26,7,10,1085.4,662.094,10854.0
SO - 0006863,1/23/2021,1/2/2021,39,Trade Supply,EUR,RPT503,9,13,5,944.7,755.76,4723.5
SO - 0007141,1/23/2021,2/2/2021,7,Trade Supply,USD,RPT503,4,11,8,2619.7,2174.351,20957.6
SO - 0002449,1/24/2021,1/29/2021,30,Trade Supply,USD,RPT503,33,1,7,1145.7,641.592,8019.9
SO - 0003322,1/24/2021,1/28/2021,5,Trade Supply,GBP,RPT503,80,7,7,5272.9,4165.591,36910.3
SO - 0003376,1/24/2021,1/31/2021,41,Logistics Partner,NZD,RPT503,30,5,9,187.6,138.824,1688.4
SO - 0004653,1/24/2021,10/2/2021,21,Trade Supply,GBP,RPT503,24,1,9,1232.8,788.992,11095.2
SO - 0004727,1/24/2021,11/2/2021,5,Global Sales,EUR,RPT503,49,1,9,2814.0,1997.94,25326.0
SO - 000185,1/25/2021,5/2/2021,8,Global Sales,AUD,RPT503,26,5,9,5447.1,3540.615,49023.9
SO - 0005852,1/25/2021,1/28/2021,23,Trade Supply,NZD,RPT503,35,5,9,938.0,750.4,8442.0
SO - 0006229,1/25/2021,8/2/2021,32,Trade Supply,NZD,RPT503,5,11,9,2278.0,1161.78,20502.0
SO - 0007796,1/25/2021,3/2/2021,27,Logistics Partner,USD,RPT503,49,7,5,1782.2,1497.048,8911.0
SO - 0001851,1/26/2021,4/2/2021,17,Global Sales,USD,RPT503,21,11,9,2740.3,1205.732,24662.7
SO - 0003418,1/26/2021,7/2/2021,40,Global Sales,USD,RPT503,87,11,12,917.9,523.203,11014.8
SO - 0003535,1/26/2021,6/2/2021,10,Trade Supply,AUD,RPT503,59,11,5,1976.5,1462.61,9882.5
SO - 0004051,1/26/2021,8/2/2021,10,Trade Supply,USD,RPT503,76,7,8,1943.0,1224.09,15544.0
SO - 0005008,1/26/2021,10/2/2021,38,Logistics Partner,AUD,RPT503,93,11,11,850.9,697.738,9359.9
SO - 0005207,1/26/2021,5/2/2021,32,Trade Supply,NZD,RPT503,34,2,10,857.6,497.408,8576.0
SO - 0005249,1/26/2021,1/29/2021,15,Trade Supply,NZD,RPT503,55,2,11,1192.6,632.078,13118.6
SO - 0006241,1/26/2021,3/2/2021,44,Trade Supply,NZD,RPT503,9,1,10,1065.3,628.527,10653.0
SO - 0007164,1/26/2021,1/31/2021,2,Trade Supply,USD,RPT503,64,2,8,2311.5,1386.9,18492.0
SO - 0004444,1/27/2021,9/2/2021,14,Trade Supply,GBP,RPT503,42,1,5,1051.9,746.849,5259.5
SO - 0004566,1/27/2021,2/14/2021,40,Global Sales,AUD,RPT503,97,7,10,3839.1,2149.896,38391.0
SO - 0004671,1/27/2021,3/2/2021,37,Trade Supply,USD,RPT503,12,1,11,201.0,118.59,2211.0
SO - 0007527,1/27/2021,4/2/2021,25,Trade Supply,AUD,RPT503,93,13,6,1159.1,869.325,6954.6
SO - 0004766,1/28/2021,4/2/2021,47,Logistics Partner,EUR,RPT503,63,11,9,2425.4,1479.494,21828.6
SO - 0007205,1/28/2021,2/14/2021,5,Global Sales,USD,RPT503,35,1,7,938.0,712.88,6566.0
SO - 0001700,1/29/2021,5/2/2021,41,Trade Supply,NZD,RPT503,15,1,8,857.6,686.08,6860.8
SO - 0004950,1/29/2021,9/2/2021,46,Logistics Partner,NZD,RPT503,48,2,9,3825.7,3098.817,34431.3
SO - 0003330,1/30/2021,8/2/2021,27,Global Sales,NZD,RPT503,22,7,9,1306.5,535.665,11758.5
SO - 0004404,1/30/2021,8/2/2021,21,Trade Supply,AUD,RPT503,100,2,6,3906.1,2031.172,23436.6
SO - 0004681,1/30/2021,11/2/2021,1,Logistics Partner,EUR,RPT503,14,2,11,5045.1,3027.06,55496.1
SO - 0005128,1/30/2021,2/13/2021,43,Logistics Partner,USD,RPT503,3,11,5,227.8,161.738,1139.0
SO - 0005510,1/30/2021,2/14/2021,15,Trade Supply,AUD,RPT503,35,13,9,1876.0,1275.68,16884.0
SO - 0006238,1/30/2021,4/2/2021,2,Trade Supply,NZD,RPT503,55,2,9,2338.3,1286.065,21044.7
SO - 0007680,1/30/2021,2/16/2021,30,Trade Supply,AUD,RPT503,93,11,11,1755.4,754.822,19309.4
SO - 0007828,1/30/2021,2/14/2021,3,Global Sales,USD,RPT503,54,5,10,3470.6,2845.892,34706.0
SO - 0008076,1/30/2021,9/2/2021,46,Trade Supply,NZD,RPT503,41,7,5,1038.5,664.64,5192.5
SO - 000531,1/31/2021,4/2/2021,33,Trade Supply,EUR,RPT503,85,4,6,1172.5,809.025,7035.0
SO - 0002336,1/31/2021,4/2/2021,20,Logistics Partner,NZD,RPT503,83,7,9,3457.2,1452.024,31114.8
SO - 0002721,1/31/2021,2/16/2021,17,Trade Supply,NZD,RPT503,68,14,10,6311.4,4986.006,63114.0
SO - 0003215,1/31/2021,11/2/2021,16,Trade Supply,EUR,RPT503,73,7,11,174.2,127.166,1916.2
SO - 0003944,1/31/2021,5/2/2021,44,Trade Supply,NZD,RPT503,100,13,12,268.0,171.52,3216.0
SO - 0006288,1/31/2021,3/2/2021,41,Logistics Partner,USD,RPT503,34,4,9,1038.5,571.175,9346.5
SO - 0006474,1/31/2021,2/14/2021,28,Logistics Partner,NZD,RPT503,50,5,7,6217.6,4974.08,43523.2
SO - 0007429,1/31/2021,10/2/2021,34,Trade Supply,NZD,RPT503,42,7,6,3966.4,2974.8,23798.4
SO - 000289,1/2/2021,10/2/2021,24,Trade Supply,EUR,RPT503,70,2,7,1996.6,1397.62,13976.2
SO - 000897,1/2/2021,8/2/2021,14,Logistics Partner,NZD,RPT503,18,11,11,3008.3,1594.399,33091.3
SO - 0001604,1/2/2021,4/2/2021,44,Global Sales,EUR,RPT503,43,2,6,5815.6,3082.268,34893.6
SO - 0002055,1/2/2021,2/15/2021,4,Trade Supply,NZD,RPT503,55,12,5,1185.9,960.579,5929.5
SO - 0002824,1/2/2021,2/16/2021,11,Trade Supply,EUR,RPT503,82,3,8,1092.1,589.734,8736.8
SO - 0003708,1/2/2021,2/19/2021,14,Logistics Partner,NZD,RPT503,55,5,6,187.6,146.328,1125.6
SO - 0004298,1/2/2021,8/2/2021,19,Logistics Partner,USD,RPT503,43,12,9,6432.0,4373.76,57888.0
SO - 0006139,1/2/2021,11/2/2021,29,Logistics Partner,NZD,RPT503,51,1,7,3865.9,1700.996,27061.3
SO - 0006538,1/2/2021,4/2/2021,19,Trade Supply,AUD,RPT503,23,9,8,1098.8,450.508,8790.4
SO - 0007366,1/2/2021,6/2/2021,36,Global Sales,NZD,RPT503,62,4,10,790.6,545.514,7906.0
SO - 0007450,1/2/2021,2/13/2021,33,Logistics Partner,USD,RPT503,49,13,9,884.4,548.328,7959.6
SO - 000754,2/2/2021,12/2/2021,38,Trade Supply,GBP,RPT503,69,11,7,1078.7,442.267,7550.9
SO - 0002307,2/2/2021,11/2/2021,17,Global Sales,GBP,RPT503,89,5,11,167.5,78.725,1842.5
SO - 0004232,2/2/2021,10/2/2021,7,Logistics Partner,NZD,RPT503,38,1,7,1078.7,647.22,7550.9
SO - 0004355,2/2/2021,11/2/2021,11,Logistics Partner,USD,RPT503,31,2,12,670.0,408.7,8040.0
SO - 0004548,2/2/2021,2/14/2021,33,Global Sales,USD,RPT503,30,7,6,6277.9,4143.414,37667.4
SO - 0004604,2/2/2021,2/14/2021,21,Trade Supply,NZD,RPT503,16,9,5,1078.7,776.664,5393.5
SO - 0006403,2/2/2021,11/2/2021,6,Logistics Partner,NZD,RPT503,53,10,5,1333.3,986.642,6666.5
SO - 0007042,2/2/2021,5/2/2021,5,Logistics Partner,NZD,RPT503,23,1,12,1996.6,1677.144,23959.2
SO - 0007067,2/2/2021,2/14/2021,11,Trade Supply,NZD,RPT503,59,1,11,2592.9,1192.734,28521.9
SO - 0007654,2/2/2021,9/2/2021,5,Logistics Partner,USD,RPT503,37,13,11,2606.3,1668.032,28669.3
SO - 0007986,2/2/2021,2/16/2021,18,Logistics Partner,NZD,RPT503,88,9,7,1132.3,532.181,7926.1
SO - 000259,3/2/2021,2/13/2021,22,Trade Supply,AUD,RPT503,48,9,11,2231.1,1784.88,24542.1
SO - 0001007,3/2/2021,2/14/2021,29,Logistics Partner,AUD,RPT503,20,7,8,1922.9,865.305,15383.2
SO - 0001237,3/2/2021,2/16/2021,18,Trade Supply,USD,RPT503,69,11,11,5628.0,4108.44,61908.0
SO - 0002670,3/2/2021,12/2/2021,46,Trade Supply,EUR,RPT503,75,7,12,3959.7,2811.387,47516.4
SO - 0002953,3/2/2021,6/2/2021,39,Logistics Partner,EUR,RPT503,62,7,5,1025.1,697.068,5125.5
SO - 0004408,3/2/2021,2/15/2021,44,Logistics Partner,NZD,RPT503,79,5,7,1145.7,836.361,8019.9
